R201

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND  READY TIME   DUE DATE   SERVICE TIME
 
    0      1         25          0          0       1000          0
    1      1         15         15        161         171         10
    2      1         5          20        50          60         10
    3      1         1         13        116         126         10
    4      1         40         19        149         159         10
    5      1         10         26         34          44         10
    6      1         45          4        99         109         10
    7      1         20          5        81          91         10
    8      1         30          9        95         105         10
    9      1         35         16        97         107         10

   
